Number of Articles,Number of Founders,Number of Funding Rounds,Total Funding Amount,Number of Investors,Number of Acquisitions,Number of Lead Investors,Successful Exit (True/False)
,1,,,,,,0
,2,2,,,,,0
798,1,3,1460000000,,3,,1
6,1,,,,,,0
,,,,,,,0
1,1,,,,,,0
,,,,,,,0
,,,,,,,0
3,,,,,,,0
,,,,,,,0
2,1,1,2300000,2,,,0
,,,,,,,0
7,,,,,,,0
,,1,982000,1,,1,0
,,,,,,,0
1,,,,,,,0
,,,,,,,0
8,1,,,,,,1
20,2,,,,,,0
,1,,,,,,0
,,,,,,,0
1,,,,,,,0
,,,,,,,0
1,1,2,3050000,1,,,0
,,,,,,,0
13,3,6,44600000,4,,2,1
,,3,1705000,,,,0
6,1,,,,,,0
,,,,,,,0
15,1,6,73901999,5,,3,1
2,2,,,,,,0
,,,,,,,1
11,2,3,4570000,3,,2,1
,,,,,1,,0
,,,,,,,1
24,1,3,26300000,1,,1,0
,,,,,,,0
,,,,,,,0
,3,,,,,,0
,1,,,,,,0
,1,1,7100000,1,,1,0
,1,1,2427234,,,,0
5,2,,,,,,0
18,2,8,23796504,4,,2,0
,,,,,,,1
1,1,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,1
23,2,6,96051393,6,,1,1
,,,,,,,0
7,,,,,,,1
1,3,,,,,,0
1,,,,,,,0
,,,,,,,0
509,,2,,1,,,1
,1,2,680000,1,,1,0
1,1,3,711250,,,,0
203,4,7,38000000,10,1,3,0
,,,,,,,1
,,,,,1,,0
17,1,,,,,,0
,,,,,,,0
3,1,,,,,,0
9,,,,,,,1
,,,,,,,0
36,1,2,10000000,3,,3,1
3,1,1,4000000,1,,,0
9,1,,,,,,0
,1,,,,,,1
1,,,,,,,0
229,5,3,8500000,3,,1,1
,,,,,,,1
,,,,,,,0
2,1,,,,,,1
51,,,,,6,,0
,,1,,1,,,0
,,,,,,,0
14,2,3,5713703,,,,1
,,,,,,,0
6,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
47,,,,,,,0
3,1,4,64285567,5,,2,1
,2,1,170000,1,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
3,1,2,8075000,2,,2,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
52,2,2,57000000,1,,1,1
2,,,,,,,0
25,1,1,12000000,2,,,1
1,,,,,,,0
,,,,,,,0
,,3,8800000,3,,,1
7,2,4,8500000,6,,1,1
,,,,,,,0
,,6,36055000,8,,2,0
,,,,,,,1
40,2,1,13000000,1,,1,0
30,1,7,45500000,3,2,3,1
,,,,,,,0
,1,,,,,,0
60,,1,,,,,0
,,,,,,,1
,,,,,,,0
1,,,,,,,0
11,1,,,,,,0
,1,,,,,,0
1,,,,,,,0
,,,,,,,0
3,1,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
2,,,,,,,0
6,2,1,6000000,2,,,1
1,1,1,250000,1,,,0
,,,,,,,0
1,,,,,,,0
1,,,,,1,,0
,1,,,,,,0
2,3,,,,,,0
525,4,4,63350000,7,,5,1
,,,,,,,0
37,1,,,,,,1
,1,,,,,,0
8,2,,,,1,,0
1,1,1,3800000,,,,0
2,,,,,,,1
,,4,392327,,,,0
1,,,,,,,0
6,1,,,,,,0
1,2,2,8000000,,1,,0
,,,,,,,0
1,,,,,,,0
1,2,3,250000,2,,,1
,,,,,,,0
,,,,,,,0
1,,1,,1,,,0
18,1,4,8200000,,,,1
8,,,,,,,0
,,4,120000,4,,,0
9,2,1,,1,,,0
,,,,,,,0
,,,,,,,0
,2,1,10000000,2,,,0
1,,,,,,,0
2,2,1,,1,3,1,1
8,1,2,10760000,1,1,1,1
1,1,2,4141000,1,,,0
3,,3,15556000,4,,,0
,,1,2076250,,,,1
227,,,,,,,0
18,,,,,,,0
13,,,,,,,1
1,1,,,,,,0
,,,,,,,0
1,1,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
114,2,,,,,,1
3,1,,,,,,0
,,,,,,,1
,1,,,,,,0
,,,,,,,1
24,2,7,105050000,9,,4,1
,,1,600000,,,,0
4,2,1,2100000,1,1,,1
42,2,,,,18,,1
,,,,,,,0
,,1,2098456,1,,,0
148,,,,,,,0
,,,,,,,0
,,,,,,,0
9,,5,34190000,3,,1,1
11,1,2,27000000,8,,2,0
,,1,,2,,,1
,,,,,,,1
,,,,,,,0
95,1,11,466589999,8,,5,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
7,1,3,1250000,3,,3,0
,,,,,,,0
403,5,8,60815000,10,1,3,1
,,2,2073171,,,,0
,,1,,,,,0
20,5,2,21450000,3,,1,0
890,5,1,1750000,2,,2,1
1,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,1
1,,,,,,,0
,,,,,,,1
1,,,,,,,0
,1,,,,,,0
14,,,,,,,1
6,,,,,,,0
1,1,,,,,,0
1,,,,,,,0
,1,,,,,,0
,,,,,,,0
9,2,1,4000000,1,,1,1
2,1,2,24425000,,2,,0
214,,,,,2,,1
3,,,,,,,1
6,,,,,1,,1
167,,,,,3,,1
,,,,,,,0
3,,,,,,,0
,,,,,,,0
,,,,,,,1
61,,,,,,,0
,1,1,258427,,,,0
,,,,,,,0
78,1,3,45000000,1,,,0
1635,3,5,40900000,6,8,4,1
,,,,,,,0
5,,,,,,,0
6,1,,,,,,0
,3,,,,,,0
,,,,,,,1
66,2,3,9640000,3,,2,1
,,,,,,,0
,,,,,,,1
54,1,1,25000000,1,,1,0
,,,,,,,0
4,1,,,,3,,0
7,1,,,,,,0
,,,,,,,1
3,3,,,,,,0
,,,,,,,0
,,,,,,,0
9,1,3,10600000,2,,1,0
,,1,7500000,1,,,0
,,,,,,,0
3,,,,,,,0
1,1,,,,,,0
,,3,800000,2,,,0
12,1,1,3500000,2,,2,1
,,,,,,,0
,,3,4089700,2,,1,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
6,2,,,,,,0
1,,,,,,,0
4,3,1,,1,,,0
1,,,,,,,0
,,,,,,,0
2,,,,,,,1
,,,,,,,0
1,,,,,,,1
,,3,9090000,4,,1,1
2,,,,,,,0
,,,,,,,1
67,2,5,226000000,7,,3,0
185,3,3,16100000,5,,2,1
,,,,,,,1
42,,11,122609480,12,,6,1
1,,,,,,,1
1,,1,4100000,4,,1,0
,,,,,,,1
,,1,15000,,,,0
,,,,,,,1
3,1,1,170000,,,,1
,,,,,,,0
,,1,11000000,,,,0
,,,,,,,0
1,,,,,,,1
,,,,,,,0
,,,,,,,0
3,,,,,,,0
125,,,,,,,0
1,,,,,,,1
13,2,,,,,,0
,1,,,,,,0
2,,,,,,,1
,,,,,,,1
6,,,,,,,0
,,,,,,,1
1,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
3,1,,,,,,0
9,1,,,,,,1
1,,,,,,,0
21,1,1,2620000,1,1,1,1
10,1,3,26000006,2,,1,1
,1,4,17625814,3,,1,0
5,,,,,,,0
591,2,9,64014000,6,,3,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,1,,1
,,,,,,,0
,1,,,,,,0
7,,,,,,,0
,,,,,,,0
217,2,11,323987000,15,5,6,1
148,1,6,231471000,6,,3,0
1,,2,12703000,,,,0
483,3,15,1372600000,12,,9,1
,,,,,,,0
13,,,,,,,1
,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,1
21,3,2,3500000,9,,,1
,,,,,,,0
63,1,1,,1,,,0
9,1,,,,,,0
16,,,,,1,,0
1,,,,,,,0
,,,,,,,0
,2,,,,,,0
26,1,7,76078582,6,,2,0
,,1,10200000,1,,1,0
,,,,,1,,0
,1,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,2,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
6,,,,,,,0
38,,2,14000000,2,,2,0
1,1,,,,,,0
116,1,1,500000,,,,0
,,,,,,,0
,,,,,,,0
28,4,5,47778903,4,,3,0
,,1,10500000,4,,2,0
,,,,,,,0
1,1,,,,,,0
4,,,,,,,0
,1,2,19999999,1,,,1
,,,,,,,1
,,,,,,,0
71,,,,,,,0
,,,,,,,1
29,,1,4000000,1,,,1
768,1,7,160000000,19,4,6,0
1,,1,7000000,1,,1,0
,,,,,,,0
29,4,5,19000000,14,2,3,0
,,,,,,,0
7,2,1,25000000,,,,1
3,,,,,,,0
2,2,,,,,,0
,,,,,1,,0
2,5,,,,,,0
,,,,,,,0
1,2,1,30000000,1,,1,0
,2,,,,,,0
,,,,,2,,1
,2,,,,,,0
2,,,,,,,0
,,,,,,,0
45,,,,,1,,1
,1,,,,,,0
10,,,,,,,1
20,,,,,,,0
,,,,,6,,1
,1,,,,,,0
,1,,,,,,0
,1,1,,1,,1,0
,,2,4217358,1,,,1
2,1,,,,,,1
7,1,,,,,,0
22,1,1,,2,,,0
,,,,,,,1
,,,,,,,1
,1,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,1
1,1,2,1525000,,,,0
,,,,,,,0
,2,,,,,,0
8,1,,,,,,0
,,,,,,,0
8,,,,,,,1
,1,,,,,,0
,2,,,,,,1
1,,,,,4,,0
,,,,,,,0
,1,,,,,,1
,,,,,,,1
,1,,,,,,0
4,1,1,810000,1,,1,0
193,3,8,116400000,10,4,6,1
,,,,,,,0
13,2,3,48425000,4,,1,1
4,,,,,2,,0
1,,,,,,,1
,,1,1400000,1,,1,0
4,2,,,,,,0
1049,3,4,54400000,4,,2,0
28,3,9,21115154,12,3,1,0
2,,4,2835000,3,,,0
,,1,,1,,,0
224,3,12,141308872,13,5,4,1
6,,,,,,,0
,1,,,,,,0
6,1,16,23416000,4,,1,0
,,,,,,,0
114,1,1,,2,,,1
,,,,,,,1
5,3,3,13022212,,,,0
,,1,,1,,,0
81,2,2,14250000,,2,,1
,,,,,,,1
1,,,,,,,1
,,,,,,,0
,,,,,1,,0
,,,,,,,0
,,,,,,,0
,2,,,,,,0
,,,,,,,0
,,,,,,,0
1,,1,,,,,0
9,,,,,,,0
167,1,1,,,,,0
,,,,,,,0
,2,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
75,2,5,108800000,20,5,5,1
1,,,,,,,0
,2,,,,,,0
3,,,,,,,0
1,,,,,1,,0
8,,,,,,,0
,,,,,,,0
3,,,,,,,0
,,,,,2,,0
,,,,,,,1
1,3,2,,,,,0
18,2,5,5708020,5,,1,1
1,,,,,,,0
,,,,,,,0
2,,,,,,,0
,,,,,,,0
5,,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,2,,,,,,0
7,1,,,,,,1
,1,,,,,,0
,,,,,,,0
,,,,,,,1
10,1,,,,,,0
9,,,,,,,0
33,,,,,1,,0
1,,,,,1,,0
7,1,1,,2,,2,1
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
1,,,,,,,0
,,,,,1,,1
,,,,,,,0
,1,1,182493,1,,,0
,2,,,,,,0
1,1,,,,,,0
,,,,,,,0
2,1,,,,,,0
,,1,100000,,,,0
,1,,,,,,0
2,,,,,,,0
,,,,,,,0
,,,,,,,0
2,1,,,,,,0
8,,,,,,,0
1,,,,,1,,1
,,,,,,,1
,,1,500000,1,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
9,1,,,,,,0
,,,,,,,0
43,4,,,,,,0
20,,,,,,,0
,,,,,,,1
11,,,,,,,0
,,,,,,,0
4,,,,,,,1
,2,,,,,,0
1,,1,4000000,1,,1,0
,,,,,,,1
4,1,,,,,,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,1,,0
1,1,2,2200000,1,1,1,0
16,2,,,,,,0
3,,,,,,,0
,,,,,,,0
,,1,10000000,,,,0
,,,,,,,0
1,,,,,,,0
1,1,,,,,,0
32,,4,45000000,7,,6,0
,,1,,1,,,0
,,,,,,,0
2,2,2,988000,,,,1
,,,,,,,0
3,1,,,,,,0
504,,,,,,,0
,,,,,,,0
,1,,,,,,0
1,1,1,,2,,,0
56,1,1,300000,1,,,0
9,1,,,,,,0
,,,,,,,0
4,,,,,,,0
8,1,,,,,,0
,,,,,,,0
,,1,3800000,1,,,0
,,,,,,,0
,,,,,,,0
16,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
32,,,,,,,0
7,,,,,,,0
,,,,,,,0
,,1,4000000,,,,0
,1,,,,,,1
,,,,,4,,1
,1,,,,,,0
2,1,,,,,,0
13,2,1,8000000,4,,2,1
1,,,,,,,1
1,,1,15000000,6,,,0
19,,,,,3,,0
16,,,,,1,,0
,1,,,,,,0
2,1,,,,,,1
,1,,,,,,0
,,,,,,,1
72,1,,,,,,1
15,1,2,2550000,2,,1,0
2,1,,,,,,0
1,,,,,,,1
33,,1,,3,,,1
,,,,,,,0
,,,,,,,0
1,1,,,,,,0
,,,,,,,1
,1,,,,,,1
,,,,,,,1
,,1,2900000,,,,0
,1,,,,1,,0
2,2,,,,,,1
6,2,1,1250000,1,,1,0
8,,,,,,,1
3,,,,,,,0
,,,,,,,1
,,,,,,,0
4,2,,,,,,0
,1,,,,,,0
,,,,,,,1
6,,,,,,,0
,,,,,,,1
,,,,,5,,1
,,,,,,,0
,1,,,,,,0
15,2,,,,,,0
,,,,,,,1
29,,,,,,,1
8,3,5,49850000,4,,3,1
294,5,8,340362625,19,5,2,1
,,,,,,,0
,1,,,,,,0
,1,1,3250000,1,,1,0
,1,,,,,,0
,,,,,,,1
11,,,,,,,0
4,,,,,,,0
,,,,,,,0
13,1,,,,,,0
,,,,,,,1
17,1,,,,,,0
,,,,,,,1
,1,,,,,,0
35,2,3,5000000,3,2,1,1
165,1,,,,,,0
,,,,,,,0
7,,,,,,,0
,,,,,,,0
65,2,1,15000000,1,,1,1
,,,,,,,0
4,,,,,,,0
,,,,,,,1
,,,,,,,0
,1,5,8525000,1,,1,0
,,,,,,,0
,,,,,,,1
681,1,9,177260060,12,,4,1
3,,,,,4,,0
1,1,2,1000000,5,,,0
,1,2,500000,1,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
46,,,,,,,1
1,,,,,,,0
621,,1,,1,,,0
7,,2,32250000,2,1,2,0
4,,,,,,,1
1,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
4,,,,,,,0
,2,2,815830,3,,,0
2,4,,,,1,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
2,,1,,1,,,0
,2,2,500000,1,,1,0
,1,,,,,,0
,,1,,1,,,0
,1,1,,,,,0
27,1,,,,,,0
,,,,,3,,1
,2,,,,,,0
3,,1,125000,1,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
5,,1,,2,,,0
,,,,,,,0
,,,,,1,,0
10,2,8,30293333,15,2,4,0
,,,,,,,0
2,,,,,,,0
1,,,,,,,0
1,,,,,,,0
,,,,,,,0
3,,,,,,,0
3,,,,,,,0
1,,,,,,,0
,,,,,,,0
225,3,3,1800000,15,,1,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
4,3,6,11600000,4,,3,0
4,2,,,,,,0
1,1,,,,,,0
,1,,,,,,0
,1,,,,,,0
,1,,,,,,0
,,,,,,,0
,1,,,,,,0
,1,1,400000,,,,0
,,,,,,,0
,,,,,,,0
,,1,,1,,,0
4,,,,,1,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,0
,,1,1300000,1,,1,0
1,1,,,,,,0
,,,,,,,0
,2,,,,,,0
,,,,,,,0
,,,,,,,0
,,1,1000000,,,,0
,,3,152500,1,,,0
,,,,,,,0
1,,,,,,,0
,1,3,2451300,,,,0
,,1,1420000,,,,0
,,,,,,,0
35,2,1,8300000,2,1,,0
9,1,,,,,,0
,,,,,,,0
5,,,,,,,0
,,,,,,,0
26,1,11,86466000,10,,3,0
,,,,,,,0
64,,,,,1,,0
1,,,,,,,0
,2,,,,,,0
1,,,,,1,,0
3,,,,,,,0
,1,1,8775000,1,,1,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
6,,,,,,,0
,1,1,500000,,,,0
,,3,20290000,3,,1,0
,2,,,,,,0
,,,,,,,0
,,,,,,,0
69,1,2,113214186,,1,,0
,1,4,4359346,1,,,0
5258,2,,,,5,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,1,2,1262000,,,,0
,1,,,,,,0
,3,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,3,,,,,,0
,,,,,,,0
,1,1,,1,,,0
,1,1,20000,,,,0
,,,,,,,0
,2,,,,,,0
,,,,,,,0
7,1,2,10000000,2,,1,0
1,,,,,,,0
,,2,8199999,7,,,0
,,,,,,,0
70,1,4,45550000,13,2,1,0
7,,,,,,,0
,,,,,,,0
19,,,,,,,0
,,,,,,,0
,,,,,,,0
1,2,,,,1,,0
24,,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
6,1,1,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,1,,0
,1,1,233380,,,,0
,,,,,,,0
,1,,,,,,0
1,,,,,,,0
,,,,,,,0
,1,,,,,,0
1,,,,,,,0
38,2,3,44000000,2,3,1,0
2,,2,1559354,,,,1
3,,,,,,,0
1,,,,,,,1
,,,,,,,1
10,1,2,250000,1,,1,1
,1,,,,,,0
28,4,3,17000000,3,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
2,1,,,,,,0
,,,,,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,1
,1,,,,,,0
,,,,,,,0
,,1,,1,,,0
,,,,,,,1
10,2,,,,,,0
23,1,4,2939581,2,,1,1
,,,,,,,0
,,,,,1,,0
15,1,,,,,,0
2,,,,,,,0
,,,,,1,,0
,,,,,,,1
11,2,,,,,,0
1,2,1,7000000,,,,0
6,,,,,,,0
,,,,,,,0
10,,,,,,,0
,,,,,,,1
2,,2,2000000,1,,1,1
,,1,68000,1,,,0
3,1,,,,,,1
,,,,,,,1
1,,1,,1,,,0
11,1,,,,,,0
1,2,,,,,,1
,,,,,,,1
,1,,,,,,0
,,,,,,,0
41,3,5,10845000,4,1,1,1
1,1,,,,,,0
,,,,,,,0
26,2,1,7000000,3,,2,1
,,,,,,,0
1260,2,,,,,,1
,1,6,4873366,4,,,1
,,,,,,,0
11,,3,32544500,1,,1,1
,,,,,,,1
,,,,,,,0
,,1,1572526,,1,,0
5,,,,,,,0
18,2,2,5087553,3,,,0
1,,,,,,,1
,,,,,,,0
,2,,,,,,0
,,1,1520000,,,,0
,,1,375000,,,,0
,1,,,,,,0
66,2,,,,,,0
57,1,7,46789000,,,,0
243,1,3,26000000,4,,2,1
1,,,,,,,0
,1,,,,,,1
1,,1,,1,,,0
6,,,,,2,,0
1,,,,,,,0
326,,,,,5,,1
1,1,,,,,,1
,,,,,,,0
,,1,,1,,1,0
,,,,,1,,0
,,1,2230000,2,,,0
,,,,,,,1
,1,,,,,,0
2780,2,4,,3,,,1
,,,,,1,,1
1,2,5,12500000,3,,2,0
1,,,,,,,0
1,,,,,1,,1
5,,3,11035000,2,,1,1
,2,,,,,,1
,,,,,,,0
,1,,,,,,0
,,1,5000000,2,,2,0
3,2,,,,,,1
,,,,,,,1
1,,,,,,,1
3,1,3,40000000,4,,4,0
1,,,,,1,,0
,2,,,,,,0
,,,,,,,0
1,,,,,,,0
,1,,,,,,0
,3,,,,,,0
,1,,,,,,0
1,,,,,,,1
,2,,,,,,1
1,1,,,,,,1
23,2,2,18500000,7,,2,1
,,1,,1,,,0
4,,,,,,,1
,1,,,,,,0
1,1,1,50000000,1,,1,1
,,,,,,,0
1,2,1,,1,,,0
357,2,9,75816240,11,2,4,1
1,,1,1140000,1,,,0
214,3,3,6499999,2,,1,1
2,2,11,23893000,6,,2,0
,,,,,,,0
1,1,,,,,,1
,,1,2000000,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
24,1,,,,1,,0
15,1,2,25000000,1,,1,0
1,1,,,,,,0
,,,,,,,0
2,,,,,1,,0
,1,1,2500000,2,,1,0
,,,,,,,0
176,2,4,45632042,8,,3,0
,1,,,,,,0
,1,1,,,,,0
,,,,,,,0
,3,,,,,,0
,1,1,800000,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,1,,,,,,0
,1,,,,,,0
1,,,,,,,0
,,,,,,,1
12,,1,,1,,1,1
,2,,,,,,0
,,,,,,,1
5,1,,,,,,0
,,,,,,,0
,,,,,,,0
4,,,,,,,0
13,2,6,44300000,26,1,2,1
1,,,,,,,0
401,2,3,148000000,4,2,2,1
,,,,,,,0
1,,,,,,,0
5,2,4,12039999,2,1,1,1
1,1,,,,,,1
,,1,8500000,7,,2,1
